GO	[-1.00 -0.96]	[-0.96 -0.83]	[-0.83 -0.33]	[-0.33 0.00]	[0.00 0.00]	[0.00 0.36]	[0.36 0.80]	[0.80 0.95]	[0.95 1.00]	[1.00 1.00]	[1.00 1.10]
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL	-1.024	-0.599	1.478	6.467	-0.336	0.476	-1.024	-1.741	-0.336	-1.024	-0.596
GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY	-0.829	0.566	-0.829	-0.829	-0.829	4.559	-0.829	-0.351	-0.351	-0.829	2.156
GOMF_DEAMINASE_ACTIVITY GOMF_DEAMINASE_ACTIVITY	-1.243	-1.243	-0.320	4.440	-1.243	-0.641	-0.320	0.539	0.539	1.301	-1.239
GOMF_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY GOMF_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	-0.834	-1.564	1.420	-0.589	-1.152	6.982	-0.589	0.336	-0.405	-1.152	-0.265
HP_WIDENED_SUBARACHNOID_SPACE HP_WIDENED_SUBARACHNOID_SPACE	0.876	0.422	1.502	1.502	-2.697	-1.242	-1.820	0.262	-1.820	1.168	0.426
GOBP_MUSCLE_FILAMENT_SLIDING GOBP_MUSCLE_FILAMENT_SLIDING	-0.765	-1.409	-0.407	-0.765	-0.407	3.869	2.572	0.216	-0.765	-1.409	0.430
HP_EXPRESSIVE_LANGUAGE_DELAY HP_EXPRESSIVE_LANGUAGE_DELAY	0.680	0.403	1.933	-1.451	-1.451	-1.451	-0.797	0.680	-1.451	1.030	1.036
GOCC_MEDIATOR_COMPLEX GOCC_MEDIATOR_COMPLEX	0.320	-0.283	1.226	-0.525	-1.617	-1.617	-0.283	-0.283	0.555	3.933	-1.611
GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	-0.870	-0.870	2.726	-0.870	-0.870	-0.870	-0.378	2.726	0.527	-0.378	0.237
GOBP_DNA_REPLICATION_INITIATION GOBP_DNA_REPLICATION_INITIATION	-0.926	0.320	-0.525	-0.926	1.656	-1.617	-0.525	0.320	-1.617	3.286	0.863
GOMF_RNA_HELICASE_ACTIVITY GOMF_RNA_HELICASE_ACTIVITY	0.481	1.223	1.223	2.311	-2.988	-1.013	0.314	-0.689	-0.455	0.481	-2.063
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	-0.987	0.712	-0.987	2.368	-2.036	-2.947	1.260	-0.276	0.328	0.499	0.718
GOMF_NUCLEAR_LOCALIZATION_SEQUENCE_BINDING GOMF_NUCLEAR_LOCALIZATION_SEQUENCE_BINDING	-0.222	0.726	0.398	-0.491	5.343	-1.036	-1.036	-0.491	-1.036	-0.491	-0.221
GOBP_TRANSITION_METAL_ION_HOMEOSTASIS GOBP_TRANSITION_METAL_ION_HOMEOSTASIS	-1.188	-0.355	-0.678	1.062	-1.959	2.499	2.164	0.500	-1.188	-1.959	0.669
GOCC_PHOSPHATASE_COMPLEX GOCC_PHOSPHATASE_COMPLEX	-0.729	0.370	1.621	-1.949	0.883	-0.729	-0.431	0.370	-0.431	-1.949	2.574
GOCC_PRECATALYTIC_SPLICEOSOME GOCC_PRECATALYTIC_SPLICEOSOME	-0.535	-0.865	-0.535	-2.157	-0.865	1.761	-0.535	-0.316	3.793	0.720	-0.314
GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY	-1.368	0.231	-0.385	-1.368	-1.368	3.307	0.452	0.754	0.231	0.754	-0.730
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	-1.545	0.283	0.283	0.388	2.274	-1.236	-0.976	0.827	3.265	-1.236	-1.225
HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	-1.243	0.282	0.282	0.539	-1.243	1.301	2.361	0.282	-1.243	0.282	-1.239
HP_BROAD_PHALANX_OF_THE_TOES HP_BROAD_PHALANX_OF_THE_TOES	-1.409	-0.765	0.216	0.716	-1.409	-0.407	2.572	0.427	1.079	-1.409	0.430
GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS	-0.329	0.440	0.906	-1.784	1.929	-1.784	-0.527	-1.212	2.351	0.440	-0.805
GOCC_CONNEXIN_COMPLEX GOCC_CONNEXIN_COMPLEX	-0.746	-0.298	0.655	4.059	-0.746	-0.746	-0.298	0.655	-0.746	-0.746	0.306
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS	0.784	0.346	-0.434	0.346	-2.448	-1.607	3.719	-0.434	0.541	-0.260	-0.687
HP_ABNORMAL_EPIPHYSEAL_OSSIFICATION HP_ABNORMAL_EPIPHYSEAL_OSSIFICATION	0.781	-0.810	-0.492	-0.492	1.096	-1.294	-0.286	-0.810	4.628	-0.286	-1.288
GOBP_REGULATION_OF_VASCULAR_PERMEABILITY GOBP_REGULATION_OF_VASCULAR_PERMEABILITY	-1.492	1.390	-0.234	-0.829	-1.492	0.646	1.390	-1.492	0.984	-0.234	0.383
GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS	0.217	1.356	-0.406	3.339	-0.912	-0.912	0.217	-0.406	0.490	-0.912	-0.908
GOMF_S_ACYLTRANSFERASE_ACTIVITY GOMF_S_ACYLTRANSFERASE_ACTIVITY	0.928	-1.202	3.111	-0.610	-1.202	-1.202	0.302	-0.300	0.572	-0.610	0.575
GOMF_METHYLATED_HISTONE_BINDING GOMF_METHYLATED_HISTONE_BINDING	1.284	2.038	1.284	-0.762	0.478	-2.572	-1.152	0.301	-0.489	-1.152	0.304
GOMF_DYNEIN_LIGHT_INTERMEDIATE_CHAIN_BINDING GOMF_DYNEIN_LIGHT_INTERMEDIATE_CHAIN_BINDING	-1.036	-0.222	0.398	1.659	-1.036	-0.491	-1.036	1.149	-1.036	-0.222	1.665
HP_DECREASED_PULMONARY_FUNCTION HP_DECREASED_PULMONARY_FUNCTION	-0.870	1.436	0.236	-0.870	-0.870	-0.378	0.930	0.930	1.436	-0.870	-0.867
GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	-0.994	-0.994	-0.994	1.744	-0.462	-0.994	0.426	1.214	1.214	-0.462	0.429
HP_PTERYGIUM HP_PTERYGIUM	-0.702	-1.326	0.247	-0.363	-0.702	-0.702	1.184	1.647	2.772	-0.702	-0.699
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION	1.659	0.726	-0.222	-1.036	-1.036	-0.222	-0.491	1.149	-1.036	-1.036	1.154
GOCC_ENDOLYSOSOME_MEMBRANE GOCC_ENDOLYSOSOME_MEMBRANE	1.488	-0.580	1.488	-0.580	-0.580	-0.580	-0.580	0.891	0.891	-0.580	-0.578
GOBP_MULTIVESICULAR_BODY_SORTING_PATHWAY GOBP_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.264	-1.285	-0.671	-1.285	-0.342	1.720	0.264	1.241	1.241	-1.285	0.266
HP_TORSADE_DE_POINTES HP_TORSADE_DE_POINTES	0.279	-0.787	-0.787	-0.787	-0.324	1.613	3.019	-0.324	-0.787	0.279	-0.323
GOMF_HEAT_SHOCK_PROTEIN_BINDING GOMF_HEAT_SHOCK_PROTEIN_BINDING	0.977	0.576	0.762	0.977	-0.635	-4.446	-0.312	-0.635	-0.635	0.576	0.582
GOMF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING GOMF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	1.744	-0.994	0.772	-0.462	-0.994	-0.994	-0.204	-0.994	0.772	1.214	-0.203
GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	-0.250	-0.477	-0.477	-0.861	4.183	-0.861	-1.534	-0.250	0.614	-0.250	0.618
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MATURATION GOBP_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	-0.994	-0.994	-0.994	0.426	-0.462	0.426	3.814	0.426	-0.204	-0.462	-0.203
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	-0.470	0.530	1.112	1.112	-0.645	0.892	1.112	-0.645	-1.902	-3.055	0.536
GOMF_NEUROTRANSMITTER_RECEPTOR_REGULATOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_REGULATOR_ACTIVITY	-0.456	-0.456	0.187	-0.456	1.875	-0.456	2.748	0.187	-0.456	-0.456	-0.454
HP_ALLERGY HP_ALLERGY	-0.829	0.256	1.521	-0.351	-0.829	-0.829	1.521	-0.351	1.521	-0.351	-0.826
GOMF_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_BINDING GOMF_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_BINDING	-0.953	-0.953	1.283	-0.953	0.457	-0.434	0.457	0.457	1.835	0.199	-0.950
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	0.304	0.304	-0.746	-0.746	-0.746	1.128	1.128	1.713	-0.746	-0.298	-0.743
GOCC_CCR4_NOT_COMPLEX GOCC_CCR4_NOT_COMPLEX	1.603	1.603	-0.176	-0.538	-0.538	-0.176	0.967	-0.538	-0.538	-0.538	-0.537
GOCC_SIGNAL_RECOGNITION_PARTICLE GOCC_SIGNAL_RECOGNITION_PARTICLE	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	4.465	-0.248	-0.248	0.361	-0.248
GOBP_CELL_CELL_ADHESION_INVOLVED_IN_GASTRULATION GOBP_CELL_CELL_ADHESION_INVOLVED_IN_GASTRULATION	-0.456	1.875	1.148	-0.456	0.578	-0.456	0.578	-0.456	-0.456	-0.456	-0.454
GOMF_DIACYLGLYCEROL_KINASE_ACTIVITY GOMF_DIACYLGLYCEROL_KINASE_ACTIVITY	1.148	0.187	-0.456	0.187	-0.456	-0.456	0.187	-0.456	-0.456	-0.456	2.754
GOCC_CHAPERONIN_CONTAINING_T_COMPLEX GOCC_CHAPERONIN_CONTAINING_T_COMPLEX	-0.373	-0.373	-0.373	3.245	-0.373	-0.373	-0.373	-0.373	0.239	0.712	0.240
GOMF_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_PHOSPHATASE_ACTIVITY GOMF_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_PHOSPHATASE_ACTIVITY	-0.373	0.712	-0.373	-0.373	3.245	-0.373	-0.373	0.239	-0.373	-0.373	0.240
