GO	[-1.00 -1.00]	[-1.00 -0.92]	[-0.92 -0.79]	[-0.79 -0.58]	[-0.58 -0.11]	[-0.11 0.08]	[0.08 0.54]	[0.54 0.77]	[0.77 0.93]	[0.93 1.00]	[1.00 1.10]
GOCC_MICROBODY GOCC_MICROBODY	0.644	-0.694	0.828	1.273	-1.988	-3.160	2.455	0.353	-0.255	-0.925	0.357
GOBP_THYROID_HORMONE_GENERATION GOBP_THYROID_HORMONE_GENERATION	-0.787	-0.324	-0.787	1.613	3.019	0.279	0.609	-0.324	-0.787	-0.787	-0.784
GOMF_TRIGLYCERIDE_LIPASE_ACTIVITY GOMF_TRIGLYCERIDE_LIPASE_ACTIVITY	-1.119	0.644	-0.550	-0.260	-1.119	4.128	0.644	0.346	-0.260	-1.119	-0.547
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	-0.949	-2.281	-0.600	4.710	-0.600	0.245	-0.600	-0.365	0.415	0.637	0.419
HP_PROGRESSIVE_MICROCEPHALY HP_PROGRESSIVE_MICROCEPHALY	-2.036	0.328	-0.438	0.328	-0.438	-2.947	1.260	1.260	1.962	-0.276	-0.434
GOCC_CILIARY_BASAL_BODY GOCC_CILIARY_BASAL_BODY	0.913	-0.553	0.426	-1.561	-1.232	-2.428	3.197	0.426	-0.960	0.727	0.922
GOCC_ADHERENS_JUNCTION GOCC_ADHERENS_JUNCTION	-2.458	2.133	-1.050	1.134	0.347	-1.639	-0.260	0.463	2.133	-0.358	-1.040
GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	-0.912	0.217	-0.406	-0.406	1.356	2.595	0.217	0.873	-0.912	-0.912	-0.908
GOBP_SKELETAL_MUSCLE_CONTRACTION GOBP_SKELETAL_MUSCLE_CONTRACTION	-1.575	-0.893	1.278	0.898	2.781	-0.893	-0.893	-0.266	-0.501	0.584	-0.498
GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY	-0.351	0.566	0.256	-0.351	-0.351	2.867	-0.829	-0.829	-0.829	-0.829	1.527
GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE	-0.550	-0.550	2.053	1.032	1.032	0.644	-1.119	-1.119	-1.119	-0.550	0.349
GOBP_REGULATION_OF_URINE_VOLUME GOBP_REGULATION_OF_URINE_VOLUME	1.057	0.279	0.279	-0.787	-0.787	-0.787	-0.324	1.613	-0.787	-0.787	1.619
HP_REDUCED_AMPLITUDE_OF_DARK_ADAPTED_BRIGHT_FLASH_ELECTRORETINOGRAM_A_WAVE HP_REDUCED_AMPLITUDE_OF_DARK_ADAPTED_BRIGHT_FLASH_ELECTRORETINOGRAM_A_WAVE	-0.247	-0.663	0.762	-0.663	1.292	-0.663	-0.247	-0.663	-0.247	-0.663	2.704
GOMF_EXODEOXYRIBONUCLEASE_ACTIVITY GOMF_EXODEOXYRIBONUCLEASE_ACTIVITY	-0.829	-0.351	-0.829	0.256	-0.829	0.256	-0.829	0.566	0.256	0.256	3.682
GOMF_UBIQUITIN_LIGASE_SUBSTRATE_ADAPTOR_ACTIVITY GOMF_UBIQUITIN_LIGASE_SUBSTRATE_ADAPTOR_ACTIVITY	-0.199	0.891	-0.199	-0.580	-0.580	-0.580	1.488	2.212	-0.580	-0.580	-0.578
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION	0.247	0.480	2.177	-1.326	-0.363	-1.326	0.247	-0.363	-1.326	0.793	0.798
GOMF_L_ASCORBIC_ACID_BINDING GOMF_L_ASCORBIC_ACID_BINDING	-0.787	-0.787	-0.324	-0.324	-0.787	-0.787	3.019	0.279	1.057	-0.324	0.611
GOBP_STRESS_RESPONSE_TO_METAL_ION GOBP_STRESS_RESPONSE_TO_METAL_ION	0.434	0.434	-0.580	-0.580	-0.580	0.891	3.053	-0.580	-0.199	-0.580	-0.578
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_KINASE_ACTIVITY GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_KINASE_ACTIVITY	1.939	-0.247	-0.663	1.939	-0.663	-0.663	-0.247	-0.663	0.762	-0.247	-0.660
GOBP_INTRA_S_DNA_DAMAGE_CHECKPOINT GOBP_INTRA_S_DNA_DAMAGE_CHECKPOINT	1.292	-0.247	-0.247	-0.247	-0.663	-0.663	-0.247	-0.663	-0.663	3.557	-0.246
GOBP_PRIMARY_ALCOHOL_CATABOLIC_PROCESS GOBP_PRIMARY_ALCOHOL_CATABOLIC_PROCESS	-0.497	0.524	1.052	-0.497	-0.497	-0.497	0.524	2.547	-0.497	-0.497	-0.495
GOBP_METHIONINE_METABOLIC_PROCESS GOBP_METHIONINE_METABOLIC_PROCESS	0.362	-0.663	1.939	-0.247	1.939	-0.663	0.362	-0.247	-0.663	-0.663	-0.660
GOBP_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION GOBP_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION	-0.373	-0.373	-0.373	-0.373	0.712	-0.373	-0.373	-0.373	3.245	0.712	-0.371
GOCC_POST_MRNA_RELEASE_SPLICEOSOMAL_COMPLEX GOCC_POST_MRNA_RELEASE_SPLICEOSOMAL_COMPLEX	-0.497	0.166	-0.497	0.166	-0.497	0.166	-0.497	1.731	2.547	-0.497	-0.495
HP_REDUCED_SYSTOLIC_FUNCTION HP_REDUCED_SYSTOLIC_FUNCTION	-0.456	-0.456	-0.456	-0.456	1.875	1.875	-0.456	-0.456	0.578	-0.456	0.188
GOBP_OXALATE_TRANSPORT GOBP_OXALATE_TRANSPORT	1.382	-0.373	-0.373	-0.373	1.382	-0.373	-0.373	-0.373	-0.373	-0.373	1.385
GOBP_SPERMIDINE_METABOLIC_PROCESS GOBP_SPERMIDINE_METABOLIC_PROCESS	-0.331	-0.331	-0.331	-0.331	1.528	0.273	2.452	-0.331	-0.331	-0.331	-0.330
GOBP_PROTEIN_K6_LINKED_UBIQUITINATION GOBP_PROTEIN_K6_LINKED_UBIQUITINATION	-0.373	-0.373	0.239	0.712	-0.373	-0.373	0.239	-0.373	-0.373	3.245	-0.371
HP_INCREASED_ENDOMYSIAL_CONNECTIVE_TISSUE HP_INCREASED_ENDOMYSIAL_CONNECTIVE_TISSUE	-0.290	-0.290	-0.290	0.312	-0.290	-0.290	3.955	0.312	-0.290	-0.290	-0.289
GOBP_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION GOBP_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION	-0.290	-0.290	3.955	-0.290	-0.290	-0.290	0.312	-0.290	0.312	-0.290	-0.289
